Data,Descricao,Valor,Saldo
01/09/2026,PAGTO LOTE FORNECEDORES,-500.00,9500.00
02/09/2026,RECEBIMENTO PIX,1200.00,10700.00
03/09/2026,PAGTO LOTE SERVICOS,-800.00,9900.00
04/09/2026,TARIFA BANCARIA,-15.90,9884.10
05/09/2026,PAGTO LOTE REEMBOLSOS,-450.00,9434.10
06/09/2026,DEPOSITO CLIENTE,2500.00,11934.10
07/09/2026,PAGTO LOTE ALUGUEL,-3200.00,8734.10
08/09/2026,PAGTO LOTE MANUTENCAO,-1000.00,7734.10
09/09/2026,PAGTO LOTE MATERIAL,-650.00,7084.10
10/09/2026,RECEBIMENTO BOLETO,1800.00,8884.10
11/09/2026,PAGTO LOTE IMPOSTOS,-2100.00,6784.10
12/09/2026,PAGTO SEM PAR,-750.00,6034.10
13/09/2026,PAGTO LOTE FRETE,-380.00,5654.10
14/09/2026,PAGTO LOTE PUBLICIDADE,-950.00,4704.10
15/09/2026,PAGTO LOTE ENERGIA,-420.00,4284.10
