Data,Descricao,Valor,Saldo
01/09/2026,FORNECEDOR A,-200.00,9800.00
01/09/2026,FORNECEDOR B,-150.00,9650.00
01/09/2026,FORNECEDOR C,-150.00,9500.00
02/09/2026,RECEBIMENTO PIX,1200.00,10700.00
02/09/2026,RECEBIMENTO PIX,1200.00,11900.00
03/09/2026,SERVICOS LIMPEZA,-500.00,11400.00
03/09/2026,SERVICOS TI,-300.00,11100.00
04/09/2026,TARIFA BANCARIA,-15.90,11084.10
05/09/2026,REEMBOLSO JOAO,-250.00,10834.10
05/09/2026,REEMBOLSO MARIA,-200.00,10634.10
06/09/2026,DEPOSITO CLIENTE,2500.00,13134.10
07/09/2026,ALUGUEL SEDE,-2000.00,11134.10
07/09/2026,ALUGUEL GALPAO,-1200.00,9934.10
08/09/2026,MANUTENCAO MAQ 1,-600.00,9334.10
08/09/2026,MANUTENCAO MAQ 2,-400.00,8934.10
09/09/2026,MATERIAL ESCRITORIO,-350.00,8584.10
09/09/2026,MATERIAL INFORMATICA,-300.00,8284.10
10/09/2026,RECEBIMENTO BOLETO,1800.00,10084.10
10/09/2026,RECEBIMENTO BOLETO,1800.00,11884.10
11/09/2026,IMPOSTO ICMS,-1500.00,10384.10
11/09/2026,IMPOSTO ISS,-600.00,9784.10
13/09/2026,FRETE TRANSPORTADORA A,-200.00,9584.10
13/09/2026,FRETE TRANSPORTADORA B,-180.00,9404.10
14/09/2026,PUBLICIDADE GOOGLE,-500.00,8904.10
14/09/2026,PUBLICIDADE META,-450.00,8454.10
15/09/2026,ENERGIA SEDE,-280.00,8174.10
15/09/2026,ENERGIA FILIAL,-139.99,8034.11
